ts,open,high,low,close,volume
2025-02-02T05:00:00.000Z,99538.6,100342.69,99500,100259.53,71416011.1068927
2025-02-02T06:00:00.000Z,100259.53,100515.99,100094.69,100265.15,65475449.8739602
2025-02-02T07:00:00.000Z,100265.15,100277.54,99565.6,99643.3,86356985.9406661
2025-02-02T08:00:00.000Z,99643.3,100100,99315.91,99831.04,91510659.8660512
2025-02-02T09:00:00.000Z,99831.05,99864.02,99352.94,99690.78,71198070.1550302
2025-02-02T10:00:00.000Z,99690.78,99694.72,99200,99417.06,97432550.9239327
2025-02-02T11:00:00.000Z,99417.07,99604,98645,98864.6,148021557.5355937
2025-02-02T12:00:00.000Z,98864.6,99166.19,98157,98178,143216989.2181629
2025-02-02T13:00:00.000Z,98178,98827.18,98160,98795.88,173042729.7217234
2025-02-02T14:00:00.000Z,98795.89,99439.05,98705.88,99205.08,114342374.6858872
2025-02-02T15:00:00.000Z,99205.08,99405.74,98720.55,99346.87,89760970.5400039
2025-02-02T16:00:00.000Z,99346.87,99361.97,98075.02,98264,143499730.677382
2025-02-02T17:00:00.000Z,98264.01,98580.38,97019,97228.85,314128417.7541748
2025-02-02T18:00:00.000Z,97228.86,97931.65,96821.54,97087.92,277039448.133357
2025-02-02T19:00:00.000Z,97087.92,98700,96842.33,98273.16,213228986.7002866
2025-02-02T20:00:00.000Z,98273.17,98628.74,97650.54,97798,96591158.9162532
2025-02-02T21:00:00.000Z,97798.01,97977.02,96573.47,97020.54,157160942.7020064
2025-02-02T22:00:00.000Z,97020.56,98022.2,96150,97994.46,208619325.3893418
2025-02-02T23:00:00.000Z,97994.47,97994.47,96543.1,97700.59,268268654.35771713
2025-02-03T00:00:00.000Z,97700.59,97782.79,95500,96511.33,484905338.52011216
2025-02-03T01:00:00.000Z,96511.33,96945.03,92000,93435.82,992023247.2993666
2025-02-03T02:00:00.000Z,93436.97,94980,91231,93566.01,991010099.5157878
2025-02-03T03:00:00.000Z,93566,94688,93426.49,94038.74,337431143.7110162
2025-02-03T04:00:00.000Z,94038.75,94490.72,92646.36,92786.53,229980505.1007568
2025-02-03T05:00:00.000Z,92786.53,94273.84,92760.8,94216,160262295.340897
2025-02-03T06:00:00.000Z,94215.99,94600,93657.33,93911.04,160612117.924929
